EXP2-MAE,EXP3-MAE,EXP2-AE,EXP3-AE
,,0.133028952,0.202175585
,,0.243326636,0.30392644
,,0.365158105,0.433723474
,,0.413720342,0.475341531
,,0.690203994,0.776473849
,,0.941624567,0.691946909
,,0.209201231,0.115109816
,,1.002618474,1.087917489
,,1.032317036,1.147401208
,,1.029157088,0.796807692
,,0.266033501,0.148163647
,,0.793010904,0.880752756
,,0.037113605,0.100227895
,,0.445380003,0.321221144
,,0.858437076,0.728836074
,,0.111126611,0.243420789
,,0.396916965,0.276176552
,,0.151430628,0.283846877
,,0.258837267,0.138424918
,,0.398835429,0.241094836
,,0.483468026,0.963945359
,,0.094917207,0.575650124
,,0.021327379,0.243491766
,,0.915181509,0.440071455
,,0.911489034,0.341232801
,,1.028603551,0.461559769
,,1.056197508,0.491350993
,,0.032593324,0.02711241
,,0.134040649,0.090585526
,,0.030963782,0.006084326
,,0.027900776,0.043609222
,,0.05245998,0.042448734
