SMILES,predicted_value,value
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-5.281504154,-5.0985
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,-4.836424828,-5.3382
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-5.061696053,-5.3089
,-5.398026943,-5.2108
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,-5.273721695,-5.0439
,-5.255274296,-5.1532
,-5.248843193,-5.1987
,-5.249791145,-5.2163
,-5.311113834,-5.4042
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-5.121665478,-5.0223
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-5.102776527,-4.9337
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,-5.089011192,-5.0342
,-5.091652393,-5.1288
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,-5.29126215,-5.3924
CN1/C(=C(\O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,-5.134937763,-5.0521
,-5.114651203,-4.8713
,-5.097476482,-5.0557
NC(=O)CC[C@H](N)C(=O)O,-5.093531132,-5.1284
,-5.290938854,-5.0678
,-5.098688602,-5.0313
,-5.08508873,-5.0006
,-5.079256058,-4.9031
,-5.085868359,-5.0052
CNC[C@H](O)c1ccc(O)c(O)c1,-4.998174667,-5.1068
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,-4.891649723,-5.1814
,-4.874530315,-5.2827
,-4.863979816,-5.3381
,-4.860948563,-5.5549
,-5.494009495,-5.3468
,-5.464688301,-5.1739
,-5.459318161,-5.0655
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,-5.535250187,-4.9508
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,-5.356430531,-4.8125
,-5.13477993,-4.8356
,-5.546634197,-4.9626
,-5.325351238,-5.2079
,-5.220985413,-5.1918
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,-5.084412098,-4.7016
CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,-5.031366825,-4.8667
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-4.984312057,-4.9959
,-6.136057854,-6.1331
,-5.807659149,-6.1331
,-5.397091866,-6.1267
,-5.354948044,-5.9158
,-5.28482008,-5.8864
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-5.635015965,-5.4377
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,-5.252227306,-5.104
C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,-5.222690582,-4.6267
,-5.198631287,-4.8262
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,-5.231872559,-5.2277
COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,-5.360694885,-5.2418
